Full Name,Political Party,Party Short,Twitter,Notes
Ali KENANOĞLU,Halkların Demokratik Partisi,HDP,https://twitter.com/alikenanoglu,İstanbul
Erkan KANDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erkankandemir,İstanbul
Ayhan BİLGEN,Halkların Demokratik Partisi,HDP,https://twitter.com/ayhanbilgen,Kars
Muhammet Emin AKBAŞOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/akbasogluemin,Çankırı
Nevzat CEYLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NevzatCeylan06,Ankara
Mahmut Celadet GAYDALI,Halkların Demokratik Partisi,HDP,https://twitter.com/HdpGaydali,Bitlis
Hişyar ÖZSOY,Halkların Demokratik Partisi,HDP,https://twitter.com/hisyarozsoy,Diyarbakır
Jülide SARIEROĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/jsarieroglu,Adana
İzzet Ulvi YÖNTER,Milliyetçi Hareket Partisi,MHP,https://twitter.com/UlviYonter,İstanbul
Selin SAYEK BÖKE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/selinsayekboke,İzmir
Mithat SANCAR,Halkların Demokratik Partisi,HDP,https://twitter.com/mithatsancarr,Mardin
Sezai TEMELLİ,Halkların Demokratik Partisi,HDP,https://twitter.com/SezaiTemelli,Van
Oğuz Kaan SALICI,Cumhuriyet Halk Partisi,CHP,https://twitter.com/oguzksalici,İstanbul
Zeynel EMRE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ZeynelEmre_,İstanbul
Serkan TOPAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/serkantopalchp,Hatay
Özlem ZENGİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOzlemZengin,Tokat
Dirayet Dilan TAŞDEMİR,Halkların Demokratik Partisi,HDP,https://twitter.com/dilan_dirayet,Ağrı
Berdan ÖZTÜRK,Halkların Demokratik Partisi,HDP,https://twitter.com/berdan_ozturk,Ağrı
Ayşe ACAR BAŞARAN,Halkların Demokratik Partisi,HDP,https://twitter.com/ayseacar_b,Batman
Alican ÖNLÜ,Halkların Demokratik Partisi,HDP,https://twitter.com/onlu_alican,Tunceli
Feleknas UCA,Halkların Demokratik Partisi,HDP,https://twitter.com/Feleknasuca,Batman
Radiye Sezer KATIRCIOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sezerkatirciogl,Kocaeli
Muharrem ERKEK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/MuharremErkek17,Çanakkale
Ahmet Tuncay ÖZKAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ATuncayOzkan,İzmir
Hüda KAYA,Halkların Demokratik Partisi,HDP,https://twitter.com/HudaKaya777,İstanbul
Nimetullah ERDOĞMUŞ,Halkların Demokratik Partisi,HDP,https://twitter.com/nimetullah__e,Şanlıurfa
Kazım ARSLAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kazimarslan20,Denizli
Tacettin BAYIR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/tacettinbayir,İzmir
Fuat KÖKTAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/FuatKoktas55,Samsun
Nurhayat ALTACA KAYIŞOĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/nurhayataltaca,Bursa
Hüseyin YILDIZ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/mvhuseyinyildiz,Aydın
Kemal ZEYBEK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/KemalZeybek55,Samsun
İsmail OK,BAĞIMSIZ,BAĞIMSIZ,https://twitter.com/ismailok_,Balıkesir
Mehmet Emin ŞİMŞEK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/eminsimsekmus,Muş
Mustafa TUNCER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Mustafa_CHP,Amasya
Özcan PURÇU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ozcanpurcu,İzmir
Lale KARABIYIK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/lalekarabiyik,Bursa
Mahmut TOĞRUL,Halkların Demokratik Partisi,HDP,https://twitter.com/togrularya,Gaziantep
Erkan AYDIN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/erkanecz,Bursa
Çiğdem KARAASLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/CK_Samsun,Samsun
Bülent TÜFENKCİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/bulenttufenkci,Malatya
Leyla GÜVEN,Halkların Demokratik Partisi,HDP,https://twitter.com/LeylaGuvenkcd,Hakkari
Meral DANIŞ BEŞTAŞ,Halkların Demokratik Partisi,HDP,https://twitter.com/meraldanis,Siirt
Filiz KERESTECİOĞLU DEMİR,Halkların Demokratik Partisi,HDP,https://twitter.com/FilizKer,Ankara
Garo PAYLAN,Halkların Demokratik Partisi,HDP,https://twitter.com/GaroPaylan,Diyarbakır
Orhan SARIBAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/orhansaribalchp,Bursa
Kamil Okyay SINDIR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kamilsindir,İzmir
Hüseyin YAYMAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/HuseyinYayman,Hatay
Onursal ADIGÜZEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/onursaladiguzel,İstanbul
Metin BULUT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/metinbulut23,Elazığ
Gamze AKKUŞ İLGEZDİ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gamzeilgezdi,İstanbul
Erhan USTA,IYI Parti,IYI,https://twitter.com/55erhanusta,Samsun
Ali ŞEKER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/draliseker,İstanbul
Mehmet ÖZHASEKİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmetozhaseki,Kayseri
Mustafa KÖSE,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avmustafakose,Antalya
Aziz BABUŞCU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ABabuscu,İstanbul
Markar ESEYAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/markaresayan,İstanbul
Ravza KAVAKCI KAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/RavzaKavakci,İstanbul
